monopole#,t,x,y,z
1,0.00000000000000000000000006578947368421053, 0, 0.00000000000000000019732697880000004, 0
1,0.0000000000006578947368421711, 0.01207885704700265, 0.007211263804237158, -0.011925093921933413
1,0.0000000000013157894736842764, 0.024158738158717982, 0.014423138990889641, -0.023848430371278966
1,0.000000000001973684210526382, 0.03623964335781312, 0.021635625573490073, -0.035770008901008794
1,0.000000000002631578947368487, 0.048321572666884145, 0.028848723565528655, -0.04768982906400936
1,0.000000000003289473684210592, 0.06040452610845603, 0.036062432980453155, -0.059607890413081475
1,0.000000000003947368421052698, 0.07248850370498262, 0.04327675383166885, -0.07152419250094029
1,0.000000000004605263157894802, 0.08457350547884657, 0.05049168613253856, -0.08343873488021533
1,0.000000000005263157894736908, 0.09665953145235931, 0.05770722989638251, -0.09535151710345056
1,0.000000000005921052631579013, 0.10874658164776099, 0.06492338513647843, -0.10726253872310434
1,0.000000000006578947368421119, 0.12083465608722041, 0.07214015186606144, -0.11917179929154946
1,0.000000000007236842105263224, 0.13292375479283502, 0.07935753009832408, -0.13107929836107318
1,0.000000000007894736842105329, 0.14501387778663088, 0.0865755198464162, -0.14298503548387725
1,0.000000000008552631578947435, 0.15710502509056254, 0.09379412112344505, -0.1548890102120779
1,0.00000000000921052631578954, 0.16919719672651307, 0.10101333394247512, -0.1667912220977059
1,0.000000000009868421052631645, 0.181290392716294, 0.10823315831652823, -0.1786916706927065
1,0.000000000010526315789473751, 0.19338461308164517, 0.11545359425858345, -0.1905903555489396
1,0.000000000011184210526315856, 0.2054798578442349, 0.12267464178157705, -0.20248727621817963
1,0.000000000011842105263157962, 0.2175761270256597, 0.1298963008984025, -0.21438243225211562
1,0.000000000012500000000000068, 0.22967342064744437, 0.13711857162191046, -0.22627582320235123
1,0.000000000013157894736842173, 0.241771738731042, 0.14434145396490872, -0.2381674486204047
1,0.000000000013815789473684278, 0.25387108129783376, 0.15156494794016218, -0.25005730805770904
1,0.000000000014473684210526384, 0.2659714483691289, 0.1587890535603928, -0.26194540106561187
1,0.00000000001513157894736849, 0.278072839966165, 0.16601377083827967, -0.2738317271953755
1,0.000000000015789473684210593, 0.29017525611010725, 0.17323909978645888, -0.28571628599817706
1,0.000000000016447368421052698, 0.30227869682204916, 0.18046504041752348, -0.2975990770251082
1,0.000000000017105263157894806, 0.3143831621230121, 0.18769159274402356, -0.30948009982717556
1,0.00000000001776315789473691, 0.3264886520339452, 0.19491875677846604, -0.3213593539553005
1,0.000000000018421052631579015, 0.3385951665757256, 0.20214653253331497, -0.33323683896031914
1,0.00000000001907894736842112, 0.35070270576915813, 0.20937492002099106, -0.3451125543929824
1,0.000000000019736842105263225, 0.3628112696349753, 0.21660391925387204, -0.3569864998039561
1,0.000000000020394736842105333, 0.37492085819383747, 0.22383353024429245, -0.36885867474382095
1,0.000000000021052631578947437, 0.38703147146633265, 0.2310637530045436, -0.38072907876307244
1,0.000000000021710526315789542, 0.3991431094729764, 0.23829458754687358, -0.39259771141212113
1,0.000000000022368421052631647, 0.4112557722342117, 0.24552603388348726, -0.4044645722412924
1,0.00000000002302631578947375, 0.4233694597704094, 0.25275809202654625, -0.41632966080082645
1,0.00000000002368421052631586, 0.4354841721018675, 0.25999076198816884, -0.42819297664087874
1,0.000000000024342105263157964, 0.44759990924881154, 0.26722404378042997, -0.44005451931151945
1,0.00000000002500000000000007, 0.4597166712313945, 0.2744579374153612, -0.4519142883627339
1,0.000000000025657894736842173, 0.4718344580696964, 0.28169244290495077, -0.46377228334442255
1,0.000000000026315789473684278, 0.48395326978372505, 0.2889275602611435, -0.47562850380640065
1,0.000000000026973684210526386, 0.49607310639341506, 0.29616328949584075, -0.4874829492983987
1,0.00000000002763157894736849, 0.5081939679186284, 0.3033996306209004, -0.4993356193700622
1,0.000000000028289473684210595, 0.5203158543791542, 0.31063658364813684, -0.5111865135709519
1,0.0000000000289473684210527, 0.5324387657947085, 0.31787414858932095, -0.5230356314505435
1,0.00000000002960526315789481, 0.5445627021849347, 0.32511232545617996, -0.5348829725582281
1,0.00000000003026315789473691, 0.556687663569403, 0.3323511142603977, -0.5467285364433118
1,0.00000000003092105263157902, 0.5688136499676105, 0.33959051501361426, -0.5585723226550158
1,0.00000000003157894736842112, 0.5809406613989814, 0.3468305277274261, -0.5704143307424768
1,0.00000000003223684210526323, 0.5930686978828666, 0.3540711524133861, -0.5822545602547466
1,0.00000000003289473684210533, 0.605197759438544, 0.3613123890830034, -0.5940930107407922
1,0.000000000033552631578947436, 0.617327846085218, 0.3685542377477434, -0.605929681749496
1,0.00000000003421052631578954, 0.6294589578420199, 0.37579669841902763, -0.6177645728296558
1,0.000000000034868421052631646, 0.6415910947280077, 0.3830397711082342, -0.6295976835299842
1,0.000000000035526315789473757, 0.653724256762166, 0.39028345582669693, -0.64142901339911
1,0.00000000003618421052631586, 0.6658584439634058, 0.3975277525857063, -0.6532585619855766
1,0.000000000036842105263157966, 0.677993656350565, 0.4047726613965086, -0.6650863288378432
